user,genuine,score
s036,True,-124.26520801891762
s036,True,-119.50913831360369
s036,True,-112.48604911468215
s036,True,-111.82325743876476
s036,True,-107.95092054685325
s036,True,-114.19738256924109
s036,True,-114.54363742941574
s036,True,-113.80032860693063
s036,True,-103.50666338528525
s036,True,-106.9916593460447
s036,True,-106.2754815197553
s036,True,-107.78933504219667
s036,True,-105.87504266009346
s036,True,-100.48987646847876
s036,True,-103.52867384431285
s036,True,-103.57401465671944
s036,True,-108.0586059957261
s036,True,-104.42363886957695
s036,True,-103.13381922682343
s036,True,-109.80699672405301
s036,True,-108.80884645599438
s036,True,-106.35710865002629
s036,True,-122.83577662190785
s036,True,-117.78812352957797
s036,True,-114.5333142839694
s036,True,-118.91213064790705
s036,True,-114.85771601519153
s036,True,-108.65709438704305
s036,True,-108.16868399929645
s036,True,-114.0179748318535
s036,True,-113.36652053611617
s036,True,-121.61510183821548
s036,True,-111.95692639380195
s036,True,-120.21571782164206
s036,True,-101.09329771633779
s036,True,-107.18519578988871
s036,True,-122.33768443335758
s036,True,-108.37582693772221
s036,True,-123.62397969987637
s036,True,-117.47103498151748
s036,True,-108.40657697723258
s036,True,-138.7282748722293
s036,True,-111.69035350430278
s036,True,-128.34241496195347
s036,True,-112.84298225270993
s036,True,-105.89591751706907
s036,True,-112.30279649193889
s036,True,-105.19481656068123
s036,True,-123.47728375934916
s036,True,-104.97741729182329
s036,True,-122.37944936919465
s036,True,-122.85696299342538
s036,True,-117.8427135535831
s036,True,-112.51153565609927
s036,True,-116.92804577175464
s036,True,-124.47479165632794
s036,True,-125.39978632495077
s036,True,-120.96799100107377
s036,True,-117.20406784462097
s036,True,-119.60158329674906
s036,True,-110.51119012007493
s036,True,-116.55166212729755
s036,True,-117.80454803590165
s036,True,-108.60533691705783
s036,True,-120.53462366253817
s036,True,-128.78630942720628
s036,True,-111.13827436380528
s036,True,-114.46116044755576
s036,True,-121.39477160083321
s036,True,-127.85895350373998
s036,True,-125.83199728560506
s036,True,-126.53880217171863
s036,True,-117.03773819212057
s036,True,-125.299304008098
s036,True,-113.54712994094452
s036,True,-116.28914658199035
s036,True,-117.52923652724247
s036,True,-110.4349289805197
s036,True,-120.3174733399518
s036,True,-119.2236201505649
s036,True,-114.65734601931433
s036,True,-123.19948411767712
s036,True,-118.00532426006075
s036,True,-122.97694752289321
s036,True,-137.68150567440037
s036,True,-119.58593041636816
s036,True,-115.31823337646286
s036,True,-114.44584346230774
s036,True,-120.3559063771224
s036,True,-116.50434986737805
s036,True,-113.77970079775727
s036,True,-117.1233577971016
s036,True,-124.32794054051227
s036,True,-114.61034951255955
s036,True,-121.81286265276492
s036,True,-115.25149379739968
s036,True,-115.93432605570892
s036,True,-119.10616872399486
s036,True,-117.35474980554572
s036,True,-114.71002851116569
s036,True,-121.60936499183416
s036,True,-117.04845077199309
s036,True,-109.12382193278913
s036,True,-115.06743227757775
s036,True,-111.52126101243991
s036,True,-120.56616661134964
s036,True,-108.68121059717016
s036,True,-116.66245013025895
s036,True,-118.92183615599946
s036,True,-111.62290492447664
s036,True,-113.85816456165414
s036,True,-118.72821787379091
s036,True,-121.26410881750414
s036,True,-125.60825988796422
s036,True,-116.20736137997518
s036,True,-116.95487203993923
s036,True,-122.00981566253608
s036,True,-117.9824749644726
s036,True,-117.1276215220978
s036,True,-112.46411038574861
s036,True,-110.39814462282826
s036,True,-123.32607247723097
s036,True,-113.64699061111423
s036,True,-114.836239263851
s036,True,-120.95546235045855
s036,True,-115.00762015347333
s036,True,-114.37659419496855
s036,True,-114.5351660873951
s036,True,-120.59519824752685
s036,True,-119.54565689947769
s036,True,-110.27569793141387
s036,True,-116.59055829146428
s036,True,-110.34779553643295
s036,True,-114.93188148317442
s036,True,-121.76332534563035
s036,True,-124.02029386228718
s036,True,-112.19694079359992
s036,True,-118.2865120261796
s036,True,-112.79472266631329
s036,True,-112.27895236824318
s036,True,-118.22907883132014
s036,True,-112.24131761549008
s036,True,-113.19748876313086
s036,True,-113.91382787748856
s036,True,-107.55920960984794
s036,True,-111.3144658939314
s036,True,-111.97651827784613
s036,True,-108.82781717254585
s036,True,-122.83926445016645
s036,True,-115.17073604126149
s036,True,-125.86155423255983
s036,True,-112.26761211784243
s036,True,-126.87642690200273
s036,True,-114.57735094706759
s036,True,-114.2287734192947
s036,True,-110.58746780350174
s036,True,-124.00098301647249
s036,True,-117.94023996941061
s036,True,-116.9965479153665
s036,True,-112.27711351702389
s036,True,-108.68514983355247
s036,True,-115.30522288996785
s036,True,-119.54730577196374
s036,True,-114.89299484267303
s036,True,-113.52712770415225
s036,True,-114.51950713808473
s036,True,-112.17698981909186
s036,True,-111.17059313277156
s036,True,-113.67071083625272
s036,True,-122.78080038177458
s036,True,-114.87380630964061
s036,True,-111.1829462849013
s036,True,-116.72491208267148
s036,True,-119.3739008193568
s036,True,-113.54344618142372
s036,True,-122.90975060959246
s036,True,-116.61800938936696
s036,True,-111.3801868389814
s036,True,-120.3229043673961
s036,True,-119.29431308579332
s036,True,-113.47160246652174
s036,True,-118.52604029438992
s036,True,-116.70194502027472
s036,True,-121.01767118993483
s036,True,-115.04229987126884
s036,True,-115.3445545039217
s036,True,-120.45969150542405
s036,True,-112.9189969131875
